K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
163	2	105141	0.024	21.784	0.057	21.179	555	672.00
164	2	105754	0.035	6.288	0.071	5.664	613	622.00
165	2	106446	0.025	2.532	0.071	1.912	692	647.67
166	2	107154	0.026	11.481	0.067	10.887	708	626.00
167	2	107807	0.045	21.638	0.077	21.009	653	621.33
168	2	108322	0.034	2.918	0.078	2.267	515	537.00
169	2	109087	0.027	21.674	0.061	21.065	765	698.33
170	2	109796	0.049	3.189	0.049	2.603	709	629.00
171	2	110530	0.026	8.022	0.068	7.437	734	678.00
172	2	111212	0.035	6.813	0.054	6.131	682	715.67
173	2	111885	0.026	22.102	0.057	21.455	673	657.00
174	2	112608	0.046	4.593	0.064	3.968	723	647.33
175	2	113375	0.026	1.941	0.061	1.264	767	675.33
